timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1.71449E+12,62531,HomePage,200,OK,New Thread 1-28,text,TRUE,,1154400,232,50,50,https://www.daraz.com.bd/,224,0,169
1.71449E+12,224,HomePage-0,301,Moved Permanently,New Thread 1-28,text,TRUE,,815,114,50,50,https://daraz.com.bd/,224,0,169
1.71449E+12,62306,HomePage-1,200,OK,New Thread 1-28,text,TRUE,,1153585,118,50,50,https://www.daraz.com.bd/,826,0,538
1.71449E+12,64439,HomePage,200,OK,New Thread 1-43,text,TRUE,,1154347,232,50,50,https://www.daraz.com.bd/,232,0,177
1.71449E+12,232,HomePage-0,301,Moved Permanently,New Thread 1-43,text,TRUE,,815,114,50,50,https://daraz.com.bd/,232,0,177
1.71449E+12,64206,HomePage-1,200,OK,New Thread 1-43,text,TRUE,,1153532,118,50,50,https://www.daraz.com.bd/,2642,0,245
1.71449E+12,67423,HomePage,200,OK,New Thread 1-3,text,TRUE,,1154347,232,50,50,https://www.daraz.com.bd/,670,0,610
1.71449E+12,674,HomePage-0,301,Moved Permanently,New Thread 1-3,text,TRUE,,815,114,50,50,https://daraz.com.bd/,670,0,610
1.71449E+12,66745,HomePage-1,200,OK,New Thread 1-3,text,TRUE,,1153532,118,50,50,https://www.daraz.com.bd/,940,0,549
1.71449E+12,69145,HomePage,200,OK,New Thread 1-12,text,TRUE,,1154347,232,50,50,https://www.daraz.com.bd/,515,0,455
1.71449E+12,519,HomePage-0,301,Moved Permanently,New Thread 1-12,text,TRUE,,815,114,50,50,https://daraz.com.bd/,515,0,455
1.71449E+12,68624,HomePage-1,200,OK,New Thread 1-12,text,TRUE,,1153532,118,50,50,https://www.daraz.com.bd/,637,0,546
1.71449E+12,69239,HomePage,200,OK,New Thread 1-33,text,TRUE,,1154320,232,50,50,https://www.daraz.com.bd/,237,0,182
1.71449E+12,237,HomePage-0,301,Moved Permanently,New Thread 1-33,text,TRUE,,815,114,50,50,https://daraz.com.bd/,237,0,182
1.71449E+12,69001,HomePage-1,200,OK,New Thread 1-33,text,TRUE,,1153505,118,50,50,https://www.daraz.com.bd/,828,0,426
1.71449E+12,70127,HomePage,200,OK,New Thread 1-23,text,TRUE,,1154400,232,50,50,https://www.daraz.com.bd/,295,0,235
1.71449E+12,299,HomePage-0,301,Moved Permanently,New Thread 1-23,text,TRUE,,815,114,50,50,https://daraz.com.bd/,295,0,235
1.71449E+12,69825,HomePage-1,200,OK,New Thread 1-23,text,TRUE,,1153585,118,50,50,https://www.daraz.com.bd/,9790,0,561
1.71449E+12,70572,HomePage,200,OK,New Thread 1-25,text,TRUE,,1154383,232,50,50,https://www.daraz.com.bd/,253,0,193
